
"Barcode Management","Barcode Management"
"Barcode Listing","Barcode Listing"
"Generate Barcodes","Generate Barcodes"
"Import Barcodes","Import Barcodes"
"Scan Barcodes","Scan Barcodes"
"Print Barcodes","Print Barcodes"
"Barcode Generating History","Barcode Generating History"
"Barcode Label Templates","Barcode Label Templates"
"Barcode Settings","Barcode Settings"
"Allow Everything","Allow Everything"
Barcodesuccess,Barcodesuccess
"Manage Items","Manage Items"
Settings,Settings
"Invalid data","Invalid data"
"There are %s invalid rows. You must download","There are %s invalid rows. You must download"
"this file","this file"
" to modify and try to import them again."," to modify and try to import them again."
Warehouse,Warehouse
"Available Qty","Available Qty"
"Qty to Ship","Qty to Ship"
"Qty In Warehouse","Qty In Warehouse"
"Shelf Location","Shelf Location"
All,All
Save,Save
Instruction,Instruction
Barcode,Barcode
QTY,QTY
SKU,SKU
"Product Name","Product Name"
Supplier,Supplier
Import,Import
Download,Download
"Please choose a CSV file to import:","Please choose a CSV file to import:"
"Your current setting is 1 barcode/SKU.","Your current setting is 1 barcode/SKU."
"Save new barcode","Save new barcode"
"Remove old barcodes","Remove old barcodes"
Reason,Reason
Close,Close
"Download sample file","Download sample file"
"Please choose  a CSV file to import","Please choose  a CSV file to import"
Name,Name
Size,Size
Type,Type
"Starting process execution, please wait...","Starting process execution, please wait..."
"Warning: Please do not close the window during processing data","Warning: Please do not close the window during processing data"
"Hide Main Menu","Hide Main Menu"
"Show Main Menu","Show Main Menu"
"Add after","Add after"
Delete,Delete
Loading...,Loading...
"Please wait...","Please wait..."
"Invalid file type!","Invalid file type!"
"Please choose CSV file to import.","Please choose CSV file to import."
"There was an error while importing.","There was an error while importing."
"There was an error attempting to upload the file.","There was an error attempting to upload the file."
"Import Products","Import Products"
"Please choose a CSV file to import products. You can download the sample CSV file below.","Please choose a CSV file to import products. You can download the sample CSV file below."
Processing,Processing
"Redirecting to review page...","Redirecting to review page..."
"There was error while processing! Try again.","There was error while processing! Try again."
"Finished all processes.","Finished all processes."
"Print Barcode Labels","Print Barcode Labels"
"Are you sure?","Are you sure?"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Invalid file format."
"In Stock","In Stock"
"Out of Stock","Out of Stock"
Enabled,Enabled
Disabled,Disabled
Generated,Generated
Imported,Imported
"Per Item","Per Item"
"Per Purchase","Per Purchase"
Active,Active
Inactive,Inactive
mm,mm
cm,cm
in,in
px,px
%,%
Standard,Standard
A4,A4
Jewelry,Jewelry
Code-128,Code-128
Code-25,Code-25
"Interleaved 2 of 5","Interleaved 2 of 5"
Code-39,Code-39
Ean-13,Ean-13
Identcode,Identcode
Itf14,Itf14
Leitcode,Leitcode
Royalmail,Royalmail
"Scan Barcode","Scan Barcode"
"Print Barcode","Print Barcode"
"Manage Barcode Label Templates","Manage Barcode Label Templates"
"Barcode Label Templates","Barcode Label Templates"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) has been successfully deleted.","Total of %d record(s) has been successfully deleted."
"Total of %d record(s) has been successfully updated.","Total of %d record(s) has been successfully updated."
"Template Information","Template Information"
"Item does not exist","Item does not exist"
"Barcode Template has been successfully saved.","Barcode Template has been successfully saved."
"Unable to find item to save","Unable to find item to save"
"Barcode Template has been successfully deleted.","Barcode Template was successfully deleted."
"Barcode Listing","Barcode Listing"
"Generate Barcode","Generate Barcode"
"Import Barcode","Import Barcode"
"%s barcode(s) has been generated.","%s barcode(s) has been generated."
"Cannot generate %s barcode(s), please change Barcode Pattern from the configuration to increase the maximum barcode number","Cannot generate %s barcode(s), please change Barcode Pattern from the configuration to increase the maximum barcode number"
"You must select the product to generate the barcode","You must select the product to generate the barcode"
"%s barcode(s) has been imported.","%s barcode(s) has been imported."
"Barcode Information","Barcode Information"
"The Barcode already exists.","The Barcode already exists."
"The Product SKU doesn't exist.","The Product SKU doesn't exist."
"Barcode Creating History","Barcode Creating History"
"History Information","History Information"
"Print Selected Barcode","Print Selected Barcode"
ID,ID
