"Item information","Item information"
Title,Title
File,File
Status,Status
Content,Content
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item '%s","Edit Item '%s"
"Add Item","Add Item"
ID,ID
Action,Action
Edit,Edit
CSV,CSV
XML,XML
Delete,Delete
"Are you sure?","Are you sure?"
"Change status","Change status"
"Manage Item","Manage Item"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) have been successfully deleted.","Total of %d record(s) have been successfully deleted."
"Total of %d record(s) have been successfully updated.","Total of %d record(s) have been successfully updated."
Enabled,Enabled
Disabled,Disabled
Warehouse,Warehouse
"Adjustment Code","Adjustment Code"
Reason,Reason
"Import products","Import products"
"Change Qty","Change Qty"
"Adjust Qty","Adjust Qty"
"Current Qty","Current Qty"
" "," "
Name,Name
SKU,SKU
"Old Qty","Old Qty"
"Stock adjustment Information","Stock adjustment Information"
Information,Information
"Product List","Product List"
"General Information","General Information"
Adjust,Adjust
"Start to Adjust","Start to Adjust"
"Are you sure you want to adjust stock?","Are you sure you want to adjust stock?"
"Edit Stock Adjustment '%s","Edit Stock Adjustment '%s"
"New Stock Adjustment","New Stock Adjustment"
"Created on","Created on"
"Created By","Created By"
QTY,QTY
"Manage Stock Adjustments","Manage Stock Adjustments"
"Add Stock Adjustment","Add Stock Adjustment"
"Cannot edit directly product qty! You can update qty of product by %s","Cannot edit directly product qty! You can update qty of product by %s"
"adjusting stock","adjusting stock"
"Cannot edit here. Please edit qty in the Warehouse Stocks section below.","Cannot edit here. Please edit qty in the Warehouse Stocks section below."
"Order History","Order History"
"Warehouse Stocks","Warehouse Stocks"
"Configurable Product Inventory","Configurable Product Inventory"
"Qty in Warehouse","Qty in Warehouse"
"Shelf Location","Shelf Location"
"Regsiter to Warehouse","Regsiter to Warehouse"
"view orders","view orders"
"Available qty","Available qty"
"Qty to ship","Qty to ship"
"Qty in warehouse","Qty in warehouse"
"Available Qty","Available Qty"
InventorySuccess,InventorySuccess
"Choose an attribute","Choose an attribute"
Location,Location
"Mapping Locations - Warehouses","Mapping Locations - Warehouses"
Mapping,Mapping
Id,Id
"Qty. Sold/day","Qty. Sold/day"
"Total Sold","Total Sold"
"Availability Days","Availability Days"
"Available Date","Available Date"
"Qty Needed","Qty Needed"
"Excel XML","Excel XML"
"Notification Log Information","Notification Log Information"
"Notification Log","Notification Log"
"View Notification Log No.'#%s","View Notification Log No.'#%s"
"Created At","Created At"
"Update Type","Update Type"
"Warning Message","Warning Message"
"Notification recipients","Notification recipients"
View,View
"Manage Low Stock Notification Log","Manage Low Stock Notification Log"
Action,Action
"Notification recipient list","Notification recipient list"
"Emails are separated with commas. For example, johndoe@domain.com, johnsmith@domain.com.","Emails are separated with commas. For example, johndoe@domain.com, johnsmith@domain.com."
"Product Conditions (leave blank for all products)","Product Conditions (leave blank for all products)"
Conditions,Conditions
"Low-stock Conditions","Low-stock Conditions"
"Low-stock Threshold Type","Low-stock Threshold Type"
