"%s does not exist on this store.","%s does not exist on this store."
"Action code is not valid.","Action code is not valid."
"Add a transaction","Add a transaction"
"Add a transfer","Add a transfer"
"Cancel by Api","Cancel by Api"
"Cancel transaction","Cancel transaction"
"Cancel transactions","Cancel transactions"
"Cancel transfer","Cancel transfer"
"Complete transaction","Complete transaction"
"Complete transactions","Complete transactions"
"Complete transfer","Complete transfer"
"Completed by Api","Completed by Api"
"Coupon code invalid","Coupon code invalid"
"Coupon is not exist","Coupon is not exist"
"Create by API","Create by API"
"Customer ID must be imported to the transaction data.","Customer ID must be imported to the transaction data."
"Customer does not exist","Customer does not exist"
"Customer is not exist","Customer is not exist"
"Error. Please try again.","Error. Please try again."
"Expire transaction","Expire transaction"
"Expire transactions","Expire transactions"
"Fetch a list of transaction","Fetch a list of transaction"
"Fetch a list of transfer","Fetch a list of transfer"
"Fetch list customers balance","Fetch list customers balance"
"Fetch the customer by the e-mail and website id","Fetch the customer by the e-mail and website id"
"Fetch the customer id by the e-mail and website id","Fetch the customer id by the e-mail and website id"
"Get a list of transaction","Get a list of transaction"
"Get a list of transfer","Get a list of transfer"
"Get coupon code of customer by id or email","Get coupon code of customer by id or email"
"Get coupon of customer","Get coupon of customer"
"Get customer by coupon code","Get customer by coupon code"
"Get customer by link","Get customer by link"
"Get link key of customer by id or email","Get link key of customer by id or email"
"Get link share of customer","Get link share of customer"
"Get the customer id by the e-mail and website id","Get the customer id by the e-mail and website id"
"Get the customers balance ","Get the customers balance "
"Get the points balance for a user by customer id","Get the points balance for a user by customer id"
"Get the points balance for a user by e-mail","Get the points balance for a user by e-mail"
"Get the points balance for a user by email or id","Get the points balance for a user by email or id"
"Link key is invalid","Link key is invalid"
"Link key is not exist","Link key is not exist"
"Link key of Customer: %s is not found ","Link key of Customer: %s is not found "
"No such customer Id with email %s exists in website #%s.","No such customer Id with email %s exists in website #%s."
"No such customer with ID %s exists.","No such customer with ID %s exists."
"No such customer with email %s exists in website #%s.","No such customer with email %s exists in website #%s."
"Not found.","Not found."
"Point amount must be a number.","Point amount must be a number."
"RewarPoints Core must be installed on the server in order to can use Plugin Api","RewarPoints Core must be installed on the server in order to can use Plugin Api"
"RewarPoints must be installed on the server in order to use the RewarPoints Api","RewarPoints must be installed on the server in order to use the RewarPoints Api"
"RewardPoints Customer API","RewardPoints Customer API"
"RewardPoints Refer Friends API","RewardPoints Refer Friends API"
"RewardPoints Transaction API","RewardPoints Transaction API"
"RewardPoints Transfer API","RewardPoints Transfer API"
"RewardPointsApi Module Template","RewardPointsApi Module Template"
"Rewardpoints refer friends API","Rewardpoints refer friends API"
"Rewardpoints transaction API","Rewardpoints transaction API"
"Rewardpoints transfer API","Rewardpoints transfer API"
"Send email to customer before transaction is expired","Send email to customer before transaction is expired"
"Send email transfer to customer","Send email transfer to customer"
"Send email update balance to customer","Send email update balance to customer"
"Send expired transaction email","Send expired transaction email"
"Send receiver transfer email","Send receiver transfer email"
"Send update balance email","Send update balance email"
"The customer with ID %s have not reward account.","The customer with ID %s have not reward account."
"The customer with email %s have not reward account.","The customer with email %s have not reward account."
"There is no coupon code for customer %s","There is no coupon code for customer %s"
"Transaction created by API","Transaction created by API"
"Transaction id must be an array.","Transaction id must be an array."
"emailReceive is invalid.","emailReceive is invalid."
"emailSend and emailReceive are the same.","emailSend and emailReceive are the same."
"emailSend is invalid.","emailSend is invalid."
"emailSend, emailReceive, pointAmount, storeId are required fields.","emailSend, emailReceive, pointAmount, storeId are required fields."
"pointAmount must be a positive number.","pointAmount must be a positive number."
"storeId does not exist in the system.","storeId does not exist in the system."
"storeId is required field.","storeId is required field."
"transaction data must be an array.","transaction data must be an array."
"transactionId must be an array.","transactionId must be an array."
"transactionIds must be an array.","transactionIds must be an array."
"transferData must be an array.","transferData must be an array."
"transferIds must be an array.","transferIds must be an array."
