"Action","Action"
"Allow Everything","Allow Everything"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Country","Country"
"Delete","Delete"
"Download Sample CSV File","Download Sample CSV File"
"Email","Email"
"Enable","Enable"
"Group","Group"
"ID","ID"
"Import","Import"
"Import CSV","Import CSV"
"Import File","Import File"
"Import Form","Import Form"
"Import Point Balance","Import Point Balance"
"Import Point Balances","Import Point Balances"
"Import point balance","Import point balance"
"Import/Export Csv","Import/Export Csv"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Magestore Extension","Magestore Extension"
"Manage Point Balances","Manage Point Balances"
"Name","Name"
"No uploaded files","No uploaded files"
"Point Balance","Point Balance"
"Point balance imported","Point balance imported"
"Reward Point Balances Information","Reward Point Balances Information"
"RewardPoints Csv Configuration","RewardPoints Csv Configuration"
"RewardPoints Information","RewardPoints Information"
"RewardPointsCsv Module Template","RewardPointsCsv Module Template"
"State/Province","State/Province"
"Status","Status"
"Telephone","Telephone"
"Unable to find item to save","Unable to find item to save"
"View","View"
"Website","Website"
"XML","XML"
"ZIP","ZIP"
"There are %d emails which don't belong to any accounts.","There are %d emails which don't belong to any accounts.
"Import Points","Import Points"
