"
There is no available group to join.","
There is no available group to join."
"
You cannot join this group again.","
You cannot join this group again."
" Loyalty Level Subscription"," Loyalty Level Subscription"
" days"," days"
"%s day","%s day"
"%s days","%s days"
"%s hour","%s hour"
"%s hours","%s hours"
"Action","Action"
"Add Level","Add Level"
"Add New Customer Group","Add New Customer Group"
"Add new","Add new"
"Add new earning rule","Add new earning rule"
"Add new promotion rule","Add new promotion rule"
"Add new rule","Add new rule"
"Add new spending rule","Add new spending rule"
"Allow Everything","Allow Everything"
"App Name","App Name"
"App Status","App Status"
"Are you sure you want to join this group?","Are you sure you want to join this group?"
"Are you sure?","Are you sure?"
"Assign a Customer Group","Assign a Customer Group"
"Back","Back"
"Benefits","Benefits"
"CSV","CSV"
"Can not ignore this rule","Can not ignore this rule"
"Cannot join group.","Cannot join group."
"Catalog Earning Rule","Catalog Earning Rule"
"Catalog Price Rules","Catalog Price Rules"
"Catalog Spending Rule","Catalog Spending Rule"
"Change status","Change status"
"Country","Country"
"Create Level From","Create Level From"
"Created Time","Created Time"
"Customer Group","Customer Group"
"Customer Name","Customer Name"
"Customer Since","Customer Since"
"Delete","Delete"
"Delete Item","Delete Item"
"Delete this rule","Delete this rule"
"Description","Description"
"Directory","Directory"
"Disabled","Disabled"
"Discount","Discount"
"Do you want delete this rule?","Do you want delete this rule?"
"Duration","Duration"
"Duration: %s","Duration: %s"
"Each %s customer get %s discount","Each %s customer get %s discount"
"Each %s spend you will get %s discount","Each %s spend you will get %s discount"
"Each %s spent for order customer will earn %s","Each %s spent for order customer will earn %s"
"Each %s spent for order you will earn %s","Each %s spent for order you will earn %s"
"Earning","Earning"
"Earning Points","Earning Points"
"Earning Rate","Earning Rate"
"Earning rate %s","Earning rate %s"
"Edit","Edit"
"Edit Level ","Edit Level "
"Edit this rule","Edit this rule"
"Email","Email"
"Email template sent to customer before a group expires","Email template sent to customer before a group expires"
"Email template sent to customer when a group is joinable","Email template sent to customer when a group is joinable"
"Enable Email Notification ","Enable Email Notification "
"Enable Loyalty Level plugin ","Enable Loyalty Level plugin "
"Enabled","Enabled"
"Excel XML","Excel XML"
"Exchange Point","Exchange Point"
"Exchange points","Exchange points"
"Existed Group","Existed Group"
"First Name","First Name"
"General Information","General Information"
"General information","General information"
"Group","Group"
"Group Name","Group Name"
"Group does not exist.","Group does not exist."
"Host Name","Host Name"
"ID","ID"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully deleted","Item was successfully deleted"
"Items Manager","Items Manager"
"Join Group","Join Group"
"Joined Group","Joined Group"
"Last Name","Last Name"
"Level was successfully saved","Level was successfully saved"
"Loyalty Level","Loyalty Level"
"Loyalty Level Configuration","Loyalty Level Configuration"
"Loyalty Level Information","Loyalty Level Information"
"Loyalty Level Manager","Loyalty Level Manager"
"Loyalty Level Subscription","Loyalty Level Subscription"
"Loyalty level","Loyalty level"
"Manage Loyalty Level","Manage Loyalty Level"
"Maximum length is %s characters","Maximum length is %s characters"
"Members","Members"
"Membership Expires After","Membership Expires After"
"Minimum Point","Minimum Point"
"Minimum number of points","Minimum number of points"
"Name","Name"
"New Group","New Group"
"No","No"
"Notification email template","Notification email template"
"Order # %s","Order # %s"
"Password","Password"
"Permanent","Permanent"
"Placed On","Placed On"
"Placed from IP","Placed from IP"
"Platform","Platform"
"Please note that you can participate in only one group. If you join another one, your membership in the current group will be ended.","Please note that you can participate in only one group. If you join another one, your membership in the current group will be ended."
"Port","Port"
"Promotions","Promotions"
"Requirement : %s","Requirement : %s"
"Retention Period","Retention Period"
"Reward Points","Reward Points"
"RewardPointsLoyaltyLevel","RewardPointsLoyaltyLevel"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Save fail","Save fail"
"Save information successly","Save information successly"
"Select Group","Select Group"
"Send email before","Send email before"
"Send email before level expires ","Send email before level expires "
"Shopping Cart Earning Rule","Shopping Cart Earning Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Shopping Cart Spending Rule","Shopping Cart Spending Rule"
"Show password","Show password"
"Spending","Spending"
"Spending Points","Spending Points"
"Spending Rate","Spending Rate"
"Spending rate %s","Spending rate %s"
"State/Province","State/Province"
"Status","Status"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subtract points when join group","Subtract points when join group"
"Subtract points when join group ","Subtract points when join group "
"Tax Class","Tax Class"
"Telephone","Telephone"
"Unable to find level to save","Unable to find level to save"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Use Loyalty Level","Use Loyalty Level"
"Use Loyalty Level for Promotion ","Use Loyalty Level for Promotion "
"User Name","User Name"
"Version","Version"
"View Other Groups","View Other Groups"
"Website","Website"
"XML","XML"
"Yes","Yes"
"You cannot join this group.","You cannot join this group."
"You have joined this group successfully!","You have joined this group successfully!"
"You have joined this group.","You have joined this group."
"You muse be save before","You muse be save before"
"You must have at least %s to join this group.","You must have at least %s to join this group."
"You will be subtracted %s for joining this group. Are you sure you want to join?","You will be subtracted %s for joining this group. Are you sure you want to join?"
"Your balance is not enough to join this group.","Your balance is not enough to join this group."
"ZIP","ZIP"
"day","day"
"day(s)","day(s)"
"days","days"
"the order confirmation email is not sent","the order confirmation email is not sent"
"the order confirmation email was sent","the order confirmation email was sent"
"Required accumulated points:","Required accumulated points:"
"Auto-join group","Auto-join group"
