"Earning Point Action","Earning Point Action"
"Action","Action"
"Give fixed X points to Customers","Give fixed X points to Customers"
"Give X points for every Y amount of Price","Give X points for every Y amount of Price"
"Give X points for every Y amount of Profit","Give X points for every Y amount of Profit"
"Select the type to earn points","Select the type to earn points"
"Maximum points earned by this rule","Maximum points earned by this rule"
"Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation.","Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation."
"Stop further rules processing","Stop further rules processing"
"Yes","Yes"
"No","No"
"Example actions","Example actions"
"Conditions","Conditions"
"Example conditions","Example conditions"
"General Information","General Information"
"Rule Name","Rule Name"
"Description","Description"
"Rule description shown on Reward Information page","Rule description shown on Reward Information page"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Websites","Websites"
"Customer groups","Customer groups"
"Valid from","Valid from"
"From date","From date"
"Valid to","Valid to"
"To date","To date"
"Priority","Priority"
"Rule with higher priority will be applied first.","Rule with higher priority will be applied first."
"Catalog Earning Rule Information","Catalog Earning Rule Information"
"Actions","Actions"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rule ","Edit Rule "
"Add Rule","Add Rule"
"ID","ID"
"Website","Website"
"Customer Groups","Customer Groups"
"Points","Points"
"Created on","Created on"
"Expired on","Expired on"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Catalog Earning Rule Manager","Catalog Earning Rule Manager"
"Apply Rules","Apply Rules"
"Reindex Rules","Reindex Rules"
"Name","Name"
"Name in %s","Name in %s"
"Type","Type"
"SKU","SKU"
"Price","Price"
"Qty","Qty"
"Visibility","Visibility"
"Earning Points","Earning Points"
"Change Point","Change Point"
"Point","Point"
"Empty","Empty"
"Give X points for every Y money spent","Give X points for every Y money spent"
"Give X points for every Y qty purchased","Give X points for every Y qty purchased"
"Apply To","Apply To"
"Shopping Cart Earning Rule Information","Shopping Cart Earning Rule Information"
"Shopping Cart Earning Rule Manager","Shopping Cart Earning Rule Manager"
"Update prices using the following information","Update prices using the following information"
"Discount Type","Discount Type"
"By a fixed amount","By a fixed amount"
"To a fixed amount","To a fixed amount"
"By a percentage of the original price","By a percentage of the original price"
"To a percentage of the original price","To a percentage of the original price"
"Discount amount","Discount amount"
"Uses Allowed Per Product","Uses Allowed Per Product"
"Transactions history","Transactions history"
"Discount for every X points","Discount for every X points"
"Spend X points for every Y amount of Price","Spend X points for every Y amount of Price"
"Select the type to spend points","Select the type to spend points"
"Spending-point Step ","Spending-point Step "
"Limit spending points based on","Limit spending points based on"
"None","None"
"A fixed amount of Price","A fixed amount of Price"
"A percentage of Price","A percentage of Price"
"Select the type to limit spending points","Select the type to limit spending points"
"Limit value allowed to spend points at","Limit value allowed to spend points at"
"Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation..","Set the maximum number of Discount Amounts.
If empty or zero, there is no limitation.."
"Catalog Spending Rule Information","Catalog Spending Rule Information"
"Catalog Spending Rule Manager","Catalog Spending Rule Manager"
"Give a fixed discount amount for the whole cart","Give a fixed discount amount for the whole cart"
"Give a percent discount amount for the whole cart","Give a percent discount amount for the whole cart"
"Discount Amount","Discount Amount"
"Discount received for every X points in tab Conditions","Discount received for every X points in tab Conditions"
"Spending Points","Spending Points"
"Give discount for fixed X points","Give discount for fixed X points"
"Give discount for every X points","Give discount for every X points"
"Maximum points allowed to spend","Maximum points allowed to spend"
"A fixed amount of Total Order Value","A fixed amount of Total Order Value"
"A percentage of Total Order Value","A percentage of Total Order Value"
"Select the type of limit spending points","Select the type of limit spending points"
"Shopping Cart Spending Rule Information","Shopping Cart Spending Rule Information"
"Shopping Cart Spending Rule Manager","Shopping Cart Spending Rule Manager"
" Purchase and earn %s"," Purchase and earn %s"
"Earning Points Product","Earning Points Product"
"Index point earning for Products","Index point earning for Products"
"Not enough points to use the full catalog rule.","Not enough points to use the full catalog rule."
"Maximum points allowed to spend for an order is %s","Maximum points allowed to spend for an order is %s"
"Rules Manager","Rules Manager"
"Rule Manager","Rule Manager"
"Reward Points","Reward Points"
"Catalog Earning Rule","Catalog Earning Rule"
"Manage rule","Manage rule"
"New rule","New rule"
"Rule News","Rule News"
"The item does not exist","The item does not exist"
"Rule was successfully saved","Rule was successfully saved"
"Unable to find the item to save","Unable to find the item to save"
"Rule was successfully deleted","Rule was successfully deleted"
"Rules were successfully applied","Rules were successfully applied"
"%s index was rebuilt.","%s index was rebuilt."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"Cannot initialize the indexer process.","Cannot initialize the indexer process."
"The rule you have added/edited has not been applied on the catalog. Please click on the Reindex Rules in order to see the effect on the catalog.","The rule you have added/edited has not been applied on the catalog. Please click on the Reindex Rules in order to see the effect on the catalog."
"Rules were applied","Rules were applied"
"Applying rule was failed","Applying rule was failed"
"Individual Reward Points","Individual Reward Points"
"Please enter a valid point amount.","Please enter a valid point amount."
"Cannot find product to save.","Cannot find product to save."
"Update earning point successfully.","Update earning point successfully."
"Shopping Cart Earning Rule","Shopping Cart Earning Rule"
"Reward Points Rule","Reward Points Rule"
"Catalog Spending Rule","Catalog Spending Rule"
"Shopping Cart Spending Rule","Shopping Cart Spending Rule"
"The rule has been successfully removed.","The rule has been successfully removed."
"Rule not found","Rule not found"
